codbarras;descrip
7591020080453;ATORVASTATINA 20MG X 20 TAB REC GENCER
7597758000732;ATORVASTATINA 20MG X 30 TAB ALESS PHARMACEUTI
7598176000250;ATORVASTATINA 20MG X 30 TAB ANGELUS
675696260139;ATORVASTATINA 20MG X 30 TAB BUKA
7592454003346;ATORVASTATINA 40 MG TAB  X 30  LA SANTE
8908007037345;ATORVASTATINA 40MG X 10 TAB GEAGAR
7598813000186;ATORVASTATINA 40MG X 10 TAB MM
7591020008884;ATORVASTATINA 40MG X 20 GENCER
7597758000749;ATORVASTATINA 40MG X 30 TAB ALESS PHARMACEUTI
7598176000502;ATORVASTATINA 40MG X 30 TAB ANGELUS
7598578000254;ATORVASTATINA 40MG X 30 TAB DAC55
7598981002470;ATORVASTATINA 40MG X 30 TAB JMW
7591585373458;ATORVASTATINA 40MG X 30CR GENVEN
7592806123012;ATROBEL GOTAS FCO X 15 ML RONAVA
7598677000131;ATROPINA 1% X 5ML SOLUCION OFTALMICA CLEOPHAR
7592349001129;ATROVERAN 10 MG TABLETAS RECUBIERTAS VARGAS
7592349722161;ATROVERAN 10mg/mL SOLUCIÓN GOTAS VARGAS
7861028101352;AUGMENTIN 500MG/125MG TAB RECUB X  10 FARMA
7758713058827;AUGMENTIN 875MG-125MG TAB RECUB  X 14 FARMA
7861028101291;AUGMENTIN ES600-42,9MG/5ML POL/SUS100ML FARMA
7592349001600;AUPREL 90MG COMP X 20 CAP VARGAS
7702123409861;AVELOX 400MG INF IV BAYER
7591635000136;AVISPA CHAMPU 60 ML
7591635000228;AVISPA REPELENTE AEROSOL 220 ML INTERCOS
7591585114280;AXOKINE 400MG X 5 CR LETI
7591196002464;AZACARD 81 MG X 30 TAB OFTALMI
7591196002471;AZACARD 81 MG X 60 TAB OFTALMI
8904306503154;AZATIOPRINA 50 MG (PRINAZ) X 100 TAB PRISM
7591619520643;AZIMAKROL COMP 1GR X 2 ROEMMERS
7591020007597;AZITROMICINA  500 MG X 5 COMP GENCER
8904180213187;AZITROMICINA (ZITRON 200ML/5ML POLV SUSP JMW
7598800000120;AZITROMICINA 200 mg/5 ml  USO PED. JD-PHARMA
7703712030152;AZITROMICINA 200 MG/5ML SUSP QUALITYMED
7598176000182;AZITROMICINA 200MG 15ML ANGELUS
7598176000052;AZITROMICINA 500 MG X 3 TAB ANGELUS
8904306503505;AZITROMICINA 500MG (PROAZITH) X 3 TAB PRISM
675696259973;AZITROMICINA 500MG X 5 TAB BUKA
7750215017562;AZITROMICINA P/SUS 200MG/5MLX15ML PORTUGAL
7750215014363;AZITROMICINA P/SUS 200MG/5MLX30ML PORTUGAL
7597758000152;AZITROMICINA POLVO/SUS 200MG/5MLX22.5ML ALESS
7591519002027;AZITROMICINA TAB 500MG X 3 CALOX
18906047595143;AZITROMICINA TAB 500MG X 30 TAB  JMW
7591519000979;AZITROMICINA TAB 500MG X 5 TAB CALOX
7597758000145;AZITROMICINA TAB 500MGX5 ALESS
7591585279460;AZITROMICINA TAB 500MGX5 LETI
7597758000909;AZONAX (AZTREONAM) 1G PVO SOL INY X1AMP ALESS
7599028000602;AZUFRE 20 G LYA
7591616001510;AZUFRE POLVO 20GR BIOFARCO
7599028000299;AZUL DE METILENO 30 CC LYA
7591616000360;AZUL DE METILENO 30CC BIOFARCO
7591243803167;AZUTAN COLUTORIO BUCALM BIOTECH
7591585217660;BABILINKID 100MG/0,42ML SOL GTS X 20ML LETI
8904180213248;BACILLU CLAUSI(LACTOLIN PLU) 5ML X 10AMP JMW
732064572857;BACIPORIN + UNG DERMICO 14.17G BRIUTCARE
732064572864;BACIPORIN CREMA 28.23G BRIUTCARE
6942189211348;BACITRACINA /NEOMICIN. 500UI UNG TOP. X 15GR
7591619505015;BACITRACINA 500UI UNG TOP X 15GRS KLINOS
7592616021010;BACITRACINA 500UI UNG X 15GR. KIMICEG
7592806141016;BACITRACINA 500UI UNG X 15GR. RONAVA
7598252001010;BACITRACINA 500UI/G 20G UNGUENTO DISTRILAB
7598578000469;BACITRACINA UNG X 20GR. DAC 55
7591020007825;BACTEVAL 250MG 50MG  X 24 CAP VALMOR
7707355055916;BACTRIM 80 MG/400 MG X 20 TAB MEYER
7707355055923;BACTRIM F 160 MG/800 MG X 10 TAB MEYER
7592806122015;BACTRON 40MG-200MG/5MG SUSP FC X 100ML RONAVA
7592806133073;BACTRON 80 MG/400 MG X 20 TAB RONAVA
7592806133530;BACTRON FORTE 160 MG/800 MG X 10 TAB RONAVA
7596211000043;BALSAMO LABIAL ZOAH
7591955000045;BARGONIL 2% UNG RECTAL X 10GRS  ROEMMERS
7591955000052;BARGONIL 2% UNG RECTAL X 30GRS  ROEMMERS
7593090002199;BARROCUTINA GEL FACIAL INVISIBLE FC PHARMA
7593090002397;BARROCUTINA TEENS 120ML FC PHARMA
7593090000577;BARROCUTINA TEENS TONICO 120ML FC PHARMA
7596211001071;BB CREAM TONO CLARO ZOAH
7596211001088;BB CREAM TONO MEDIO ZOAH
7596211001095;BB CREAM TONO OSCURO ZOAH
7592348120418;BECLO-ASMA 50MCG AEROSOL 200DOS 10ML POLINAC
7594001101871;BEDEX 0.15% SOL. TOPICA BUCAL X 120ML PLUSAND
7592601100188;BELOC 100MG TAB X 10 MEYER
7592946168317;BEN Y PARAISO 300MG X 90 TAB  ARCO IRIS
7591818139004;BENCIDAMINA CLORH 0.15% SOLUCION 120ML COFASA
7591818513118;BENCIDAMINA CLORH 0.15% SOLUCION 240ML COFASA
7592601100218;BENDAMEN 100MG X 6 TAB MEYER
7592601100201;BENDAMEN 100MG/5ML SUSP X 30ML MEYER
7592348203005;BENFLUX JARABE X 120MLPOLINAC
7703712032002;BENZOATO DE BENCILO 30% LOCI TOP QUALITYMED
7592601301561;BENZODIAZOL LIMON X 16 TABLETAS MEYER
7592601100881;BENZODIAZOL MENTA X 16 TABLETAS MEYER
7592601301516;BENZODIAZOL MIEL LIMON X 16 TABLETAS MEYER
7592601301509;BENZODIAZOL NARANJA X 16 TABLETAS MEYER
7592601100874;BENZODIAZOL TUTTIFRUTTI X 16 TABLETAS MEYER
7591243803600;BEPRODERM 0,05%-0,1% CREMA TUBO 15 G BIOTECH
7591243803730;BEPROSPEN 7 MG/ML SUSP INY KIT 1 AMP 1ML+INY
7592946168560;BERRO JBE 240ML ARCO IRIS
7591243804140;BETADERM 0.05% CREMA 15GR BIOTECH
7591243804041;BETADERM C/GENTAMICINA CREMA 15GR BIOTECH
7591243804164;BETADERM PLUS CREMA TUBO 15 GR BIOTECH
21281083285;BETADEX PLUS (BETAMET+GENTAM+CLOTRIM) X 20GR
7591821210820;BETADINE 7,5% JABON LIQ X 180ML FARMA
7591243804331;BETAGEN 12MG/3ML SOLUC INY X 1AMP  BIOTECH
7591243804287;BETAGEN 4MG X 1ML SOLUC INY  BIOTECH
7703333007700;BETAGRANULOS CREMA TUBO X 60 G MEDIHEALTH
8904306500870;BETAHISTINA - VERTIHIST 8MG X100 TAB PRISM
8908007037352;BETAHISTINA 16 MG X 10 TAB GEAGAR
7592454002400;BETAHISTINA 16MG TAB X 20  LA SANTE
7750215023396;BETAMETASONA 0.05% CREMA 20GRS PORTUGAL
7591020009331;BETAMETASONA 4 MG/ML AMP X 3 ML (12MG/3ML)
7591020003209;BETAMETASONA 4MG/1ML GENECR
18906047595655;BETAMETHASONE VALERATE CREMA 0,05% 20 GR JMW
7591619517858;BETARRETIN 0.05% CREMA TUBO 30 GR MEDIHEALTH
7703333007007;BETARRETIN 0.05% LOCION X 60 G MEDIHEALTH
7703333007205;BETARRETIN H  0,05/5% LOCION X 60 ML MEDIHEAL
7591619517865;BETARRETIN H  0,05/5%  CREMA X 30 GR MEDIHEAL
7599028000282;BETAYODIN 100 ML SOLUCION JABONOSA LYA
7599028000275;BETAYODIN SOL 10% 100 ML (YODOPOVIDONA)
7592782000055;BEVINDAZOL 400MG 10ML VINCENTI
7599028000619;BICARBONATO DE SODIO 20 G LYA
7592601303626;BICOL HCT 160/12.5 MG X 14 TAB  MEYER
7597758000978;BILOL 2.5MG X 10 TAB RECUB ALESS
7597758000985;BILOL 5MG X 10 TAB RECUB ALESS
7598455000476;BIOCLAR 0,12 MG/ML 15 ML BIOGLASS
7591519317695;BIOCOR 20MG X 10 TAB CALOX
7591519000146;BIOCOR 20MG X 30 TAB CALOX
7591519317664;BIOCOR 20MG/12.5MG HCT X 10 TAB CALOX
7591519316254;BIOCOR 20MG/12.5MG HCT X 30 TAB CALOX
7591519317701;BIOCOR 40MG X 10 TAB CALOX
7591519000122;BIOCOR 40MG X 30 TAB CALOX
7591519317657;BIOCOR 40MG/12.5MG HCT X 10 TAB CALOX
7591519316261;BIOCOR 40MG/12.5MG HCT X 30 TAB CALOX
7591519317671;BIOCOR AMLO 20 MG - 5 MG X 10 TAB CALOX
7591519316247;BIOCOR AMLO 20 MG - 5 MG X 30 TAB CALOX
7591519317688;BIOCOR AMLO 40 MG - 5 MG X 10 TAB CALOX
7591519316230;BIOCOR AMLO 40 MG - 5 MG X 30 TAB CALOX
7598455000490;BIODEX 0,30% TOBRA.+ 0,1%  DEXAMETA. BIOGLASS
8904210707167;BIODIPINA 30MG X 30 TAB BIOMERCY
7598455000506;BIOFTAL 0,30% 5 ML BIOGLASS
8904210806204;BIOGAVALINA 75MG X 30 CAP BIOMERCY
8904210806235;BIOGREL 75MG X 30 TAB BIOMERCY
7591585214942;BIOLETISAN FORTE 50/500 MG X 20 CAP LETI
7598455000056;BIOLFEN SOL OFT. 0.1% X 10 ML BIOGLASS
7598455000452;BIOMETHIL 1% 10 ML BIOGLASS
8904210707068;BIONAPRIL 5MG X 30 TAB BIOMERCY
7598455000483;BIOPAT 0,20% 5 ML BIOGLASS
7598455000063;BIOPRED SUSP. OFT. 1% X 5 ML BIOGLASS
7591585117137;BIOTALOL 1,25MG X 30 CR LETI
7591585217141;BIOTALOL 10MG X 30 CR LETI
7591585317179;BIOTALOL 2,5MG X 10 CR LETI
7591585217172;BIOTALOL 2,5MG X 30 CR LETI
7591585517166;BIOTALOL 5MG X 10 CR LETI
7591585217165;BIOTALOL 5MG X 30 CR LETI
8904210707013;BIOTAMSUL 0.4MG X 30 TAB BIOMERCY
8904210707105;BIOTELMIC 40MG X 30 TAB BIOMERCY
7598455000520;BIOTILOL 0,50% 10 ML BIOGLASS
733739004710;BIOTIN 5000 MG 60 VCAP NOW
685239846881;BIOTINA COMPLEX 2100 MCG X 30 CAPS NATURISTI
685239846898;BIOTINA COMPLEX 2100 MCG X 60 CAPS NATURISTI
7598455000513;BIOXIDEX MOXIFLO 0,50 DEXAM 0,1  5ML BIOGLASS
7592349001846;BIPROLIL 1,25MG COMP RECUBIERTOS VARGAS
7592349723618;BIPROLIL 2,5 MG CR X 15 VARGAS
7592349001563;BIPROLIL 2,5 MG CR X 30 VARGAS
7592349723557;BIPROLIL 5 MG CR X 15 VARGAS
7592349001570;BIPROLIL 5 MG CR X 30 VARGAS
7730969307713;BIRGIT PLUS 50mg - 1000mg x 10 COMP MEGALABS
7730969307706;BIRGIT PLUS 50mg - 1000mg x 30 COMP MEGALABS
7730969307690;BIRGIT PLUS 50MG - 500MG X 10 COMP MEGALABS
7467922682364;BISIPROLOL (CORANPROL) 5 MG X 30 TAB JMW
7750215021927;BISMUALIV 87,33MG/ 5ML X 150ML PORTUGAL
7467922682609;BISOPROLOL (CORANPROL) 2.5 MG X 30 TAB JMW
8904306500894;BISOPROLOL - CARDERAL 5MG X100 TAB PRISM
7591519009132;BISOPROLOL 1,25MG X 30 TAB CALOX
7598176000205;BISOPROLOL 10MG X 30TAB ANGELUS
7591519009149;BISOPROLOL 2,5MG X 30 TAB CALOX
7597758000091;BISOPROLOL 2.5MG + HCT 6.25 MG X 15 ALESS
7591585377173;BISOPROLOL 2.5MG X 20 TAB GENVEN
7597758000114;BISOPROLOL 2.5MG X 30 TAB ALESS
7591585377166;BISOPROLOL 5 MG X 20 TAB GENVEN
7598981002487;BISOPROLOL 5 MG X 30 TAB JMW
7597758000107;BISOPROLOL 5MG + HCT 6.25 MG X 15 ALESS
7597758000121;BISOPROLOL 5MG X 30 TAB ALESS
720524031143;BISOPROLOL FUMARATO 2.5MG X 30 LATTAN
720524031150;BISOPROLOL FUMARATO 5MG X 30 TAB USP LATTAN
7591243805420;BLOCAX PLUS 16MG/125MG X 30TAB BIOTECH
791466994940;BLOCTEN (NEBIVOLOL)  5 MG X 30 TABS. DPT
7591585260055;BLOKIUM  COMP 100 MG X 30 LETI
7591519000405;BLOKXA 10MG X 14 TAB MCK
723592772611;BOLSA DE ORINA 2000ML CON VALVULA T
7597467000535;BOLSA RECOLE/D ORINA 2000ML X1 UND  PLUSMEDIC
7703332003079;BONAC 4% GEL X 30G KLINOS
7591821903326;BONAMES 150 mg TAB REC X 1 FARMA
7703333007618;BONAVEN LOCIÓN LIMPIAD FCO. X 120 ML MEDIHEAL
7591818213124;BONITROP 100 mg GRAGEAS X 20 COFASA
7599028000626;BÓRAX 20 G LYA
7591808525114;BOROCANFOR RELAX ANTI-ROCE 14G VITA
7591243807127;BRAL 500MG TAB EST DISP. X 100 TAB BIOTECH
7591243807202;BRAL 500MG TAB X 20 BIOTECH
7591821210882;BRASARTAN CTDN 160 MG/ 12,5 MG X 30 TAB FARMA
7591821210615;BRASARTAN CTDN 80MG/12.5MG TAB X 10 FARMA
7591821210592;BRASARTAN CTDN 80MG/12.5MG TAB X 30 FARMA
7591821902701;BREINOX 800mg TAB X 30 FARMA
733739100153;BREWERS YEAST 10 GRAIN, 650MG X 200 TAB NOW
7591818213407;BREXIN 180MG/5ML JBE X 120ML COFASA
7591818716755;BREXIN FORTE 650 mg x 10 TAB COFASA
7591818000168;BREXIN PLUS x 10 TAB COFASA
7841134017815;BRIMOTIN (BRIMODINA 0.2% TIMOLOL 0.5%) VITALP
7795368001754;BRIXIA 0,05% SOL OFTÁLMICA X 6 ML MEGALABS
7591651896805;BRODILIN JBE PED X 120ML ZUOZ
7592601301585;BROLAT 5 MG-30MG /5ML SOL. ORAL X 60 ML MEYER
7592601301578;BROLAT 5 MG-30MG TABLETAS X 10  MEYER
7594000490204;BROMAZEPAM 6 MG X 30 COMP  ROWE
7594000850077;BROMECOR 4MG/5ML JBE X 120 ML BIOQUIMICA
7594000850985;BROMEXINA JBE 4MG/5ML  X 120 ML BIOQUIMICA
7591818132029;BROMEXINA, 4MG/5ML JBE X 100 ML. COFASA
7598578000537;BROMHEXINA 4MG / 5ML JARABE DAC55
7594000851562;BROMHEXINA 8 MG/5 ML JBE X 120ML BIOQUIMICA
7598981000612;BROMHEXINA JARABE PED 4MG/5ML X 60ML JMW
6921875011400;BROMURO D/IPRATROPIO INH 20 MCG X 200 KMPLUS
7598252101536;BROMURO DE IPATROPIO 20MCG/200 DOSIS P/INH
8908010870274;BROMURO DE TIOTROPIO 9MCG INH. 200 DOSIS KMPL
8904180213088;BROMURO/IPRATROPIO INHAL (AEROPRAT)20MCG JMW
7592454889629;BROXOLGRIP 80mg-0,5mg SOL GOT PED X 30mL OTC
7591062901105;BRUDOL 200MG-65MG CO RE X 20 ELMOR
7591062901082;BRUDOL 400MG-65MG CORE X 20 ELMOR
7591062013082;BRUGESIC FORTE 200MG/5ML ELMOR
7596211000098;BRUMA FACIAL MISTI ZOAH
7592454891349;BUCOXOLGAR 0,15-0,25% MENTA SOLTOPX120mL
7592454891356;BUCOXOLGAR 0,15-0,25% MIEL SOL TOPX120mL OTC
7592454891363;BUCOXOLGAR 3-1mg FRUTOS RO TAB MAST X 10 OTC
7592454891370;BUCOXOLGAR 3mg-1mg MENTA TAB MAST X 10 OTC
7592454891387;BUCOXOLGAR 3mg-1mg MIEL LI TAB MAST X 10 OTC
7591196000668;BUDECORT 1MG/ML SUSP P/INHALAR X 15ML OFTALMI
7591196002112;BUDECORT INHALADOR 100 DOSIS OFTALMI
7591196000644;BUDENAS 1MG/ML 100MCG/DOSIS SUSP ATOM. NASAL
7591196006134;BUDENAS SUSPENSION NASAL 15 ML OFTALMI
7598252101529;BUDESONIDA 200MCG / 200 DOSIS AER P/INH
795853122237;BUDESONIDA 200MCG/ DOSIS AEROSOL BIUMAK
8904180213095;BUDESONIDA INHALADOR (AEROSON) 100 MCG JMW
7591955001004;BUMELEX 0,5 MG/ML. AMP.X 3 AMP COM ROWE
7703763861002;BUMETIN RETARD 300 MG TAB X 20 PHARMETIQUE
7594001564409;BUNACARE 200 MCG X 120 MD INHAL. GENICA CARE
7750215025475;BUSDOL (HIOSCINA+PARACETAMOL) X 100 TAB PORTU
7592601000372;BUTAL 16 MG X 10 TABS MEYER
7592601000389;BUTAL 16 MG X 20 TABS MEYER
7594001101451;BUTILAMINA COMP X 20 TAB PLUSANDEX
7598252101406;BUTILBROM DE HIOSC 10MG X 100 TAB DISTRILAB
8904306502157;BUTILBROMURO HIOSCINA-BUTIDE10MGX100TAB PRISM
7597134002190;CAL-MAG  X 70 CAP LA ABEJITA
7591821101029;CALCIBON C/VIT D 315mg/200UI TAB X 30-M FARMA
7591821102170;CALCIBON SUPRA TAB MAST X 30 FARMA
7591821102071;CALCIBONNATAL FORTE TAB REC X 30 FARMA
7592946001508;CALCIO / VITAMINA D3 X 60 TAB ARCO IRIS
7591196003065;CALCITREX D3 950MG-200 UI TAB OFTALMI
733739100047;CALCIUM CIT + MAG + ZINC 100 TAB NOW
7592601100751;CALMOX TABS 15MG X 10 TAB MEYER
7592601100744;CALMOX TABS 7,5MG X 10 TAB MEYER
7591519001105;CALOXPIRINA 81mg x 100TAB CALOX
7591519008487;CALOXPIRINA 81mg x 30TAB CALOX
7591243807585;CALPAL D NATAL TAB X 30 BIOTECH
7591243807554;CALPAL D TAB X 30 BIOTECH
7591616002159;CALZINC D 240 ML BIOFARCO
7592601100232;CAMPAL 1% CREMA X 20 GRS MEYER
7592601303558;CAMPAL 1% CREMA X 50 GRS MEYER
7592601100249;CAMPAL 50MG TAB X 20 MEYER
7591020008303;CANDER 16MG X 30 TAB VALMOR
7591020008297;CANDER 8MG X 30 TAB VALMOR
7591020080620;CANDER-HCT 16 -12,5 MG x 30 TAB VALMOR
7591020080637;CANDER-HCT 8 -12,5 MG x 30 TAB VALMOR
7591519000962;CANDESARTAN 16 MG TAB X 30 CALOX
7598981000438;CANDESARTAN 16 MG X 10 TABLETAS JMW
7598981002494;CANDESARTAN 16MG X 30 TAB JMW
7598981000445;CANDESARTAN 8 MG X 10 TABLETAS JMW
7591519001006;CANDESARTAN 8MG TAB X 30 CALOX
7592454003360;CANDESARTAN 8MG X 10 TAB LA SANTE
1890604759359;CANDESARTAN 8MG X 100 TABLETAS JMW
7591020007559;CANDESARTAN CILEXETIL 8MG X 10 TAB REC GENCER
7598813000537;CANDESARTAN CILEXETIL TAB 8 MG X 30 TAB MM
7591585112620;CANFIR LP 500MG X 30 COMP LETI
7591585111661;CANFIR LP 750 MG X 30 COMP LETI
7591651001339;CANISON-BN 1% - 0,5% - 0,025% CREMA ZUOZ
7597467000511;CANULA NASAL OXIGENO ADU PLUSMEDIC  X 1UND
7597467000528;CANULA NASAL OXIGENO PED PLUSMEDIC  X 1UND
7597467001662;CANULA YANKAUER PLUSMEDIC
724373531090;CAPLAM 0.5MG TAB X 30 SNC
781100195765;CAPLAM 1MG TAB X 30 SNC
724373531083;CAPLAM 2MG TAB X 30 SNC
7750215000632;CAPTOPRIL 25 MG X 100 TAB PORTUGAL
7591519051285;CAPTOPRIL 25 MG X 30 TAB CALOX
7591519000290;CAPTOPRIL 50 MG X 10 TAB CALOX
18906047593620;CAPTOPRIL 50 MG X 100 TAB JMW
7598981002500;CAPTOPRIL 50 MG X 30 TAB
7591519051292;CAPTOPRIL 50 MG X 30 TAB CALOX
8904306503512;CARBAMAZEPINA 200MG (PROGRETAZ) X10 TAB PRISM
7468999185208;CARBAMAZEPINA 200MG X  50 TAB ALFA
756029628274;CARBAMAZEPINA 200MG X 14 TAB LATTAN
7598578000063;CARBAMAZEPINA 200MG X 20 TAB DAC
7591585278265;CARBAMAZEPINA 200MG X 30 COMP GENVEN
7598813000520;CARBAMAZEPINA 200MG X 30 COMP MM
7597758000503;CARBAMAZEPINA 200MG X 30 TAB  ALESS
7598176000243;CARBAMAZEPINA 200MG X 30 TAB  ANGELUS
7598176000786;CARBAMAZEPINA 400MG X 30 TABLETAS ANGELUS
7591020003179;CARBAMAZEPINA TAB 200MG X 20 GENCER
7591243807813;CARBATIL 12.5 MG TAB. X 30 BIOTECH
7591243807820;CARBATIL 6.25 MG TAB. X 30 BIOTECH
8904306500917;CARBIDOPA/LEVOD - CARBILEV 250MG/25 X100 TAB
6942189530227;CARBOCISTEINA JAB 100MG/5ML 100ML KMPLUS
6942189530234;CARBOCISTEINA JAB 250MG/5ML 100ML KMPLUS
18906047594627;CARBONATO DE CALCIO 300 MG X 100 TAB JMW
7591243807868;CARBONATO DE LITIO 300 MG CAP X 20 BIOTECH
7591651930967;CARDIPIRINA 80MG CAP X 30 ZUOZ
7595751000711;CARE STUDIO PAñUELOS DESECHABLES 10HJ X40 UND
7591585111050;CARIBAN 10 MG-10MG X 30 COMP LETI
7591585110114;CARICEL 2MG-30MCG X 21 COMP REC LETI
7591585112323;CARNISIN 1G/10ML SOL ORAL S/AZUC 180ML GENVEN
7591519007053;CARVEDILOL 12,5 MG X 14 TAB REC TA CALOX
7591585475640;CARVEDILOL 12,5 MG X 15 COMP GENVEN
7591519001198;CARVEDILOL 12,5 MG X 28 TAB REC TA CALOX
7591585375643;CARVEDILOL 12,5 MG X 30 COMP GENVEN
7592616576626;CARVEDILOL 12.5 MG X 20 TAB KIMICEG
7598252101666;CARVEDILOL 12.5 MG X 30 TAB DISTRILAB
7598813000513;CARVEDILOL 12.5 MG X 30 TAB MM
7598176000267;CARVEDILOL 12.5MG X 30 TAB ANGELUS
7591519007640;CARVEDILOL 25 MG X 14 TAB REC CALOX
7591519001204;CARVEDILOL 25 MG X 28 TAB REC CALOX
7597758000466;CARVEDILOL 6,25 MG TABLETAS X 30 ALESS
7591519007633;CARVEDILOL 6,25 MG X 14 TAB REC TA CALOX
7591519001174;CARVEDILOL 6,25 MG X 28 TAB REC TA CALOX
7703763712724;CARVEDILOL 6,25 MG X 30 TAB  LA SANTE
8904306503529;CARVEDILOL 6,25MG (CARE 6.25) X 10 TAB PRISM
7591585475633;CARVEDILOL 6.25 MG X 15 COMP GENVEN
7591585375636;CARVEDILOL TAB 6.25MG X 30 LETI
7593090002519;CARVETOP (CARVEDILOL) 12,5MG X 30CAP FC PHARM
7593090002502;CARVETOP (CARVEDILOL) 6,25MG COMP X 30 FC PHA
7592946006008;CASCARA SAGRADA (LAXANTE) X 60 ARCO IRIS
733739100245;CASCARA SAGRADA 450MG X 100 CAP NOW
7597134002121;CASTAÑO DE INDIAS  X 70 CAP LA ABEJITA
7592946007104;CASTAÑO DE INDIAS X 60 CAPS  ARCO IRIS
7597467000290;CATETER IV NRO 18 CAJA X 50 PLUSMEDIC
7597467000306;CATETER IV NRO 20 CAJA X 50 PLUSMEDIC
7597467000313;CATETER IV NRO 22 CAJA X 50 PLUSMEDIC
7597467000320;CATETER IV NRO 24 CAJA X 50 PLUSMEDIC
7702418004399;CEBION EFERVESC. X10 NARANJA FARMA
7702418004986;CEBION GOTAS X30 ML FRESA FARMA
7593090002137;CEDROX (CEFADROXILO) 500MG X 10 CAP FC PHARMA
7598981000667;CEFADROXILO  SUSP ORAL 250MG/5ML X 60ML JMW
7598252000488;CEFADROXILO 250MG/5ML X 100ML SUSP DISTRILAB
675696259997;CEFADROXILO 500 MG X 10 CAP BUKA
7598800000175;CEFADROXILO 500 mg X 10 CAP JD PHARMA
8904306503161;CEFADROXILO 500MG (PRISMADROX) X 10 TAB PRISM
7591519001273;CEFADROXILO 500MG CAP X 12 CALOX
7598578000070;CEFADROXILO 500MG TAB X 10 DAC55
7597758000237;CEFADROXILO 500MG X 12 CAPSULAS ALESS
7591585470225;CEFADROXILO CAP 500MG X 10 GENVEN
7703763784738;CEFADROXILO SUSP 250MG/5ML 60ML  LA SANTE
7591519003208;CEFADROXILO SUSP 250MG/5ML 60ML CALOX
7591585270207;CEFADROXILO SUSP 250MG/5ML 75ML GENVEN
6921875012650;CEFADROXILO SUSP PED 250MG/5ML X 60 ML KMPLUS
7598813000490;CEFADROXILO TAB 500 MG X 10 MM
6942189530210;CEFALEXINA SUSP 125MG/5ML 60ML KMPLUS
8904180251714;CEFAZOLINA SOD (CEBAC) 1GR POLVO PARA SOL JMW
7598981001121;CEFEPIMA 1G POLVO P/SOL INY X 25 AMP
8906112610767;CEFEPIME 1000MG I.V/I.M. ADN MEDICAL
6921875010793;CEFEPIME SOL INY IM/IV 1G KMPLUS
7592803004086;CEFIPLUS 15% - 4% CREMA VAGINAL 40GR DOLLDER
7598578000704;CEFIXIMA 100MG 5ML PVO. P/SUSP ORAL DAC 55
7591585172228;CEFIXIMA 400MG X 5 CAP GENVEN
7591519000894;CEFIXIMA 400MG X 5 TAB CALOX
7598578000445;CEFIXIMA DAC 400MG X 10 TABLETAS DISPERS. DAC
730170649494;CEFIXIMA SUSP 100MG/5 ML X 60 ML KMPLUS
8904306502256;CEFIXIME - PRIFIXIM 400MG X 100 CAP PRISM
7597285000618;CEFOMEDC (CEFOTAXIMA SODICA) POLVO 1GR X 1AMP
7703281021353;CEFOTAS 250MG/5ML SUSP ORAL X 100 MEGALABS
7703281021346;CEFOTAS 500MG X 20 CAPS
7707236121969;CEFTAZIDIMA 1G I.M/I.V POLVO AMP CJA  X 10
7598981000681;CEFTIBUTENO SUSP ORAL PED 180MG/5ML X 60ML
8904210805610;CEFTIROL 1 GR AMP  IM/IV FAHD
7598252101567;CEFTRIAXONA 1 GR  X 1 AMP DISTRILAB
8904306503543;CEFTRIAXONA 1 GR (PROTIAX) X 1 AMP PRISM
18906045224434;CEFTRIAXONA 1 GR AMP ADN MEDICAL
1890701000215;CEFTRIAXONA 1 GR X 10 VIALES B.C
7591818111123;CELAY  10 MG/ML. SOL GOT X 15 ml COFASA
7591818116104;CELAY 10 mg X 10  TAB COFASA
7591818215050;CELAY 5MG/5ML SOLUC. ORAl 100ML COFASA
7593090001567;CELISTIA (CEFIXIMA) 100MG/5ML X 60 ML FC PHAR
7593090001321;CELISTIA X5 TAB (CEFIXIMA)
7592946168324;CENTELLA C/ALCACHOFA 300MG X 90 CAP ARCO IRIS
7597134000691;CENTELLALAB  X 70 CAP LA ABEJITA
7592946005704;CENTELLASAN CAPSULA X 90 ARCO IRIS
7597297000194;CEP DENTA TOTAL CLEAN X 1 (ICEBERG)
7597297000484;CEP DENTAL ACQUA ULTRA SLIM X 1 (ICEBERG)
7597297000187;CEP DENTAL ADVANCED PRO X 1 (ICEBERG)
7597297000200;CEP DENTAL CRISTAL CLEAN X 1 (ICEBERG)
7597297000415;CEP DENTAL DE ORTODONCIA  X 1 (ICEBERG)
3014260275938;CEP.DENTAL ORAL B INFANTIL 12UNID PABON
7597297000286;CEPILLO DE SILICONA PARA BEBES X 1 (ICEBERG)
7597297000224;CEPILLO DENTAL DASHER KIDS 5+ X 1 (ICEBERG)
8904278577511;CERO AKNE LOCION PARA EL TTO. DEL ACNE FAHD
7592432001654;CETIRIVAX 10mg CAP x 10 vivax
8904306502249;CETIRIZINA - COMFOCET 10 MG X 100 TAB PRISM
7598981002715;CETIRIZINA 10MG X 10 TABLETAS JMW
7750215002384;CETIRIZINA 10MG X 100 TAB PORTUGAL
7591585174598;CETIRIZINA 1MG X 60ML GENVEN
7598981000506;CETIRIZINA 5MG /5ML 60 ML  JBE PED JMW
7592454138239;CETIRIZINA 5MG /5ML JBE X 60ML  LA SANTE
7750215003299;CETIRIZINA 5MG /5ML JBE X 60ML PORTUGAL
